"id","content"
"1","Nếu e không biết gì về máy tính có thi được không?"
"2","Em không giỏi tiếng anh và sử dụng máy tính cũng không tốt lắm thì có hợp không ạ?"
"3","Có yêu cầu kiến thức nền tảng về máy tính trước không."
"4","Ngành này con gái học ổn không ạ?"
"5","Có cần phải có máy tính mới có thể học được các ngành KHMT?"
"6","Liệu các em học sinh nữ có khó khăn gì khi theo học các ngành kỹ thuật thuộc khoa CNTT&TT không ?"
"7","Khoa học máy tính là gì?"
"8","môi trường thân thiện không"
"9","chuẩn đầu ra có được đảm bảo không"
"10","tỉ lệ ra trường là bao nhiêu"
"11","tỉ lệ tốt nghiệp ra trường là bao nhiêu"
"12","có yêu cầu kỹ năng giao tiếp không"
"13","chương trình học có khó không"
"14","chuẩn đầu ra có được đảm bảo không"
"15","chương trình đào tạo có quá khó không"
"16","Khi học ngành máy tính em cần những kĩ năng gì"
"17","Nếu mua riêng một cái máy tính thì khoảng bao nhiêu"
"18","Ngành này có học cao đẳng không"
"19","Khi học ngành đó có được ưu tiên gì không"
"20","Ngành IT sau này có bị lạc hậu không"
"21","Ngành này có khó học không"
"22","Có cơ hội đi tham quan mấy công ty hay nhiều chỗ khác tiếp xúc với nhiều cái công nghệ mới không"
"23","Có được luyện lại từ đầu để lấy căn bản không hay học tới tới luôn"
"24","ngành tốn thời gian học đúng không"
"25","Ngành khoa học máy tính đòi hỏi tố chất gì"
"26","Có phù hợp ở môi trường nông thôn không"
"27","Có khó không để học được ngành"
"28","Cường độ làm việc khi làm công việc này"
"29","Ngành này có hệ thống cấp bậc không"
"30","Nếu có thì điều kiện thăng tiến là gì"
"31","Ngành này có lương hưu không"
"32","Nếu có thì khoảng bao nhiêu và điều kiện để được trả lương khi về hưu"
"33","Mà ngành này có buộc nghỉ hưu không hay vẫn có thể tiếp tục công việc dù đã già"
"34","Sức cạnh tranh của ngành này"
"35","Đóng góp cho xã hội"
"36","Cơ hội thăng tiến trong ngành"
"37","môi trường học tập có khô khan không"
"38","những khó khăn thường gặp trong quá trình học tập"
"39","những thuận lợi của sinh viên ngành máy tính khi tìm việc"
"40","ngành này có ưu điểm gì so với những ngành khác (so sánh)"
"41","Giữa ngành CNTT và khoa học máy tính thì ngành nào có tỉ lệ việc làm cao hơn ạ?"
"42","Sau khi tốt nghiệp, sinh viên ngành CNTT có được giới thiêu việc làm không?"
"43","Thưa thầy ngành CNTT cơ hội được làm việc với các doanh nghiệp nước ngoài cao không ạ?/ Dạ cho em hỏi ngành CNTT sau này có cơ hội làm việc cho công ty nước ngoài không ạ?"
"44","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành CNTT được không ạ?"
"45","tỉ lệ ra trường là bao nhiêu?"
"46","điều kiện học lên thạc sĩ và tiến sĩ ngành CNTT như thế nào ạ"
"47","điểm chuẩn là bao nhiêu"
"48","ngành ra trường làm việc gì"
"49","ngành ứng dụng được những lĩnh vực nào"
"50","ra trường làm việc lương bao nhiêu"
"51","học xong trường có giới thiệu việc làm không"
"52","nếu học xong muống xin học bổng làm ntn"
"53","nếu học xong muống xin học bổng du học làm ntn"
"54","xếp hạng của ngành so với các ngành khác"
"55","đã có những ứng dụng kỹ thuật nào nổi trội"
"56","tỉ lệ có việc làm đúng ngành nghề sau khi ra trường là bn"
"57","tỉ lệ chọi"
"58","điểm sàn"
"59","môi trường thân thiện không"
"60","điểm chuẩn là bn"
"61","học phí"
"62","tỉ lệ ra trường là bao nhiêu"
"63","ra trường có thể làm gì"
"64","tỉ lệ tốt nghiệp ra trường là bn"
"65","sau khi tốt nghiệp có giữ lại trường làm việc không"
"66","vị trí trường ở đâu"
"67","ở ktx có cần đk gì ko"
"68","hồ sơ cần những gì"
"69","1 năm có bn hk"
"70","có nghỉ hè ko"
"71","có giảm học phí những trường hợp nào"
"72","học xong có thể có những kỹ năng nào"
"73","Ngành đó sao này ra trường làm gì?"
"74","Nếu năm nay xét học bạ có thể là bao nhiêu điểm"
"75","Mức độ hot của ngành đó hiện nay?"
"76","Mức lương ra trường sao với các ngành khác?"
"77","Ngành đó đào tạo về những kĩ năng gì?"
"78","Nếu e k biết gì về máy tính có thi đc k?"
"79","Khả năng tính toán và trình độ Tiếng Anh của e k đc tốt thì thi có ổn k"
"80","Kĩ năng giao tiếp"
