"id","content"
"1","điểm chuẩn ngành cntt là bao nhiêu?"
"2","điểm chuẩn ngành attt là bao nhiêu"
"3","điểm chuẩn của ngành khmt là bao nhiêu"
"4","điểm chuẩn của ngành ktpm là bao nhiêu"
"5","điểm chuẩn của ngành mạng máy tính và truyền thông dữ liệu là bao nhiêu"
"6","điểm chuẩn của ngành ttdpt là bao nhiêu"
"7","điểm chuẩn của ngành httt là bao nhiêu"
"8","điểm chuẩn của ngành cntt clc là bao nhiêu"
"9","Ngành An toàn thông tin điểm chuẩn là bao nhiêu?"
"10","Ngành Khoa học máy tính điểm chuẩn là bao nhiêu?"
"11","Ngành Mạng máy tính và truyền thông dữ liệu điểm chuẩn là bao nhiêu?"
"12","Ngành Công nghệ thông tin điểm chuẩn là bao nhiêu?"
"13","Ngành Hệ thống thông tin điểm chuẩn là bao nhiêu?"
"14","Ngành Kỹ thuật phần mềm điểm chuẩn là bao nhiêu?"
"15","Ngành Kỹ thuật máy tính điểm chuẩn là bao nhiêu?"
"16","Điểm chuẩn năm ngoái ngành khmt và cntt là bao nhiêu ạ"
"17","điểm chuẩn ngành khmt và attt là bao nhiêu?"
"18","Điểm chuẩn ngành khmt và httt là bao nhiêu?"
"19","Điểm chuẩn ngành khmt và ktpm là bao nhiêu?"
"20","Điểm chuẩn ngành khmt và ktmt là bao nhiêu?"
"21","Điểm chuẩn ngành cntt và attt là bao nhiêu?"
"22","Điểm chuẩn ngành cntt và httt là bao nhiêu?"
"23","Điểm chuẩn ngành cntt và ktpm là bao nhiêu?"
"24","Điểm chuẩn ngành cntt và ktmt là bao nhiêu?"
"25","Điểm chuẩn ngành antt và httt là bao nhiêu?"
"26","Điểm chuẩn ngành antt và ktpm là bao nhiêu?"
"27","Điểm chuẩn ngành antt và ktmt là bao nhiêu?"
"28","Điểm chuẩn ngành httt và ktpm là bao nhiêu?"
"29","Điểm chuẩn ngành httn và ktmt là bao nhiêu?"
"30","Điểm chuẩn ngành ktpm và ktmt là bao nhiêu?"
"31","Ngành Truyền thông đa phương tiện điểm chuẩn là bao nhiêu?"
"32","điểm chuẩn ngành khmt và cntt là bao nhiêu?"
"33","Điểm chuẩn các ngành năm ngoái"
"34","Điểm chuẩn có cao không?"
"35","Điểm sàn"
"36","Điểm chuẩn ngành cntt có cao không?"
"37","điểm chuẩn ngành nào cao nhất"
"38","điểm chuẩn ngành nào thấp nhất"
"39","điểm chuẩn giao động thế nào"
"40","Điểm chuẩn ngành khmt có cao không"
"41","Điểm chuẩn ngành attt có cao không"
"42","Điểm chuẩn ngành ttdpt có cao không"
"43","Điểm chuẩn ngành httt có cao không"
"44","Điểm chuẩn ngành ktpm có cao không"
"45","Điểm chuẩn ngành ktmt có cao không"
"46","điểm chuẩn ngành khmt và ttdpt là bn?"
"47","điểm chuẩn ngành attt và ttdpt là bn?"
"48","điểm chuẩn ngành cntt và ttdpt là bn?"
"49","điểm chuẩn ngành httt và ttdpt là bn?"
"50","điểm chuẩn ngành ktpm và ttdpt là bn?"
"51","điểm chuẩn ngành ktmt và ttdpt là bn?"
"52","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành cntt được không ạ?"
"53","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành khmt được không ạ?"
"54","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành attt được không ạ?"
"55","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành ttdpt được không ạ?"
"56","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành httt được không ạ?"
"57","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành ktpm được không ạ?"
"58","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành ktmt được không ạ?"
"59","Dạ cho em hỏi phương thức xét tuyển thạc sĩ ngành cntt clc được không ạ?"
"60","có bao nhiêu phương thức xét tuyển"
"61","phương thức xét tuyển ngành cntt"
"62","phương thức xét tuyển ngành khmt"
"63","phương thức xét tuyển ngành attt"
"64","phương thức xét tuyển ngành ttdpt"
"65","phương thức xét tuyển ngành httt"
"66","phương thức xét tuyển ngành ktpm"
"67","phương thức xét tuyển ngành ktmt"
"68","phương thức xét tuyển ngành cntt clc"
"69","có xét tuyển học bạ hay không"
"70","Đại học Cần Thơ có những phương thức xét tuyển gì?"
"71","Học ngành Công Nghệ Thông Tin thì có cần giỏi tiếng Anh hay không?"
"72","Cần học giỏi tiếng anh hay không"
"73","tiếng anh có quan trọng khi học cntt hay không?"
"74","ngoài tiếng anh ra thì cần học thêm ngoại ngữ gì?"
"75","trong trường có dạy thêm tiếng anh về ngành cntt hay không?"
"76","giỏi tiếng anh có lợi thế hay không"
"77","ngoài tiếng anh ra có cần học thêm tiếng nhật hay ngoại ngữ khác không"
"78","có test tiếng anh hay không?"
"79","Tiếng anh quan trọng thế nào?"
"80","có thể rèn luyện tiếng anh trong quá trình học hay không?"
"81","chương trình đào tạo có quá khó không"
"82","chương trình đào tạo bao nhiêu năm"
"83","chương trình đào tạo có khó không"
"84","Chương trình đào tạo của các ngành trên có cùng chung lượng kiến thức như nhau hay không?"
"85","Mất bao lâu để hoàn thành chương trình học?"
"86","chương trình học có khó không"
"87","chương trình đạo tạo bao nhiêu tín chỉ"
"88","Chương trình đào tạo kéo dài bao lâu"
"89","Chương trình đào tạo ngành cntt như thế nào"
"90","Chương trình đào tạo ngành khmt như thế nào"
"91","Chương trình đào tạo ngành attt như thế nào"
"92","Chương trình đào tạo ngành ttdpt như thế nào"
"93","Chương trình đào tạo ngành httt như thế nào"
"94","Chương trình đào tạo ngành ktpm như thế nào"
"95","Chương trình đào tạo ngành ktmt như thế nào"
"96","Chương trình có thời gian bao lâu"
"97","Bao lâu để hoàn thành chương trình học"
"98","Chương trình học có nặng không?"
"99","Chương trình học thế nào?"
"100","Chương trình học có dài không?"
"101","Nếu e không biết gì về máy tính có thi được không?"
"102","Em không giỏi tiếng anh và sử dụng máy tính cũng không tốt lắm thì có hợp không ạ?"
"103","Có yêu cầu kiến thức nền tảng về máy tính trước không."
"104","Có cần phải giỏi tin học mới học được cntt"
"105","Có yêu cầu kiến thức chuyên sâu về máy tính không."
"106","Em học dở tin học thì có học được không"
"107","Cấp 3 em không được học nhiều về máy tính thì có theo được nghề cntt không ạ"
"108","Giỏi máy tính thì có phù hợp với ngành cntt không"
"109","Kiến thức về máy tính của em gần như không có thì có học được không"
"110","Trường có đào tạo lại những thứ cơ bản về tin học không ạ"
"111","Có nhất thiết phải học tốt tin học mới theo được ngành?"
"112","Kiến thức nền tảng cần thiết"
"113","có cần nền tảng kiến thức về máy tính không?"
"114","có cần nền tảng kiến thức về tin học không?"
"115","Kiến thức về tin học có cần thiết không"
"116","Có yêu cầu về điểm số về tin học hay không"
"117","Tin học và máy tính cần thiết thế nào"
"118","Có cần tự rèn luyện kiến thức về tin học không"
"119","Có cần năng khiếu về máy tính không?"
"120","Năng khiếu về tin học"
"121","Năng khiếu về máy tính"
"122","Khi học cntt thì cần phải giỏi máy tính không"
"123","Khi học attt thì cần phải giỏi máy tính không"
"124","Khi học ktpm thì cần phải giỏi máy tính không"
"125","Khi học ktmt thì cần phải giỏi máy tính không"
"126","Khi học httt thì cần phải giỏi máy tính không"
"127","Khi học ttdpt thì cần phải giỏi máy tính không"
"128","Tin học quan trọng thế nào"
"129","Có cần phải giỏi về phần cứng máy tính không"
"130","Tin học không giỏi thì phải làm sao?"
"131","Ngành này con gái học ổn không ạ?"
"132","Liệu các em học sinh nữ có khó khăn gì khi theo học các ngành kỹ thuật thuộc khoa cntt&tt không ?"
"133","trở ngại của các bạn nữ khi học ngành cntt là gì?"
"134","so với các bạn nam thì các bạn nữ có thua thiệt gì không?"
"135","lợi thế và trở ngại của con gái khi học công nghệ thông tin"
"136","Các bạn nữ có cần năng khiếu khi học cntt không"
"137","so với các bạn nam thì các bạn nữ có lợi thế gì?"
"138","Khó khăn khi con gái theo học ngành cntt"
"139","cnnt có phù hợp với con gái không"
"140","con gái khi học khmt có gặp trở ngại gì không"
"141","đối với ngành khó như attt thì con gái có gặp khó khăn gì không"
"142","ngành httt có phù hợp với các bạn nữ không"
"143","con gái theo cntt có được không"
"144","con gái học các ngành về kỹ thuật thì có gặp trở ngại gì"
"145","con gái có phải sửa máy móc trong quá trình học không"
"146","những khó khăn con gái gặp phải khi học cntt"
"147","con gái có phải cố gắng hơn con trai khi học cntt khong"
"148","liệu con gái có thành công với cntt được không"
"149","liệu con gái có thành công với khmt được không"
"150","liệu con gái có thành công với attt được không"
"151","liệu con gái có thành công với ttdpt được không"
"152","liệu con gái có thành công với ktmt được không"
"153","liệu con gái có thành công với ktpm được không"
"154","liệu con gái có thành công với httt được không"
"155","liệu con gái có thành công với mmt&ttdl được không"
"156","trang thiết bị khi học cntt"
"157","có nhất thiết phải mua máy tính năm nhất để học cntt"
"158","mua máy tính vào năm học thứ mấy để phù hợp"
"159","Cần mua máy tính ở mức giá bao nhiêu"
"160","cần sử dụng máy tính có cấu hình thế nào thì phù hợp"
"161","không sử dụng máy tính có học được cntt hay không"
"162","ngoài máy tính ra thì có cần thêm thiết bị gì không?"
"163","Nên mua máy tính của hãng nào thì phù hợp học cntt"
"164","Máy tính có cấu hình thế nào thì học được ngành khmt"
"165","Có cần phải có máy tính mới có thể học được ngành CNTT?"
"166","Có cần phải có máy tính mới có thể học được ngành ATTT?"
"167","Có cần phải có máy tính mới có thể học được ngành HTTT?"
"168","Có cần phải có máy tính mới có thể học được ngành ttdpt?"
"169","Có cần phải có máy tính mới có thể học được ngành ktpm?"
"170","Có cần phải có máy tính mới có thể học được ngành ktmt?"
"171","Khoa học máy tính là gì?"
"172","khoa học máy tính sau này làm được những gì"
"173","Thông tin về ngành khmt"
"174","ngành khoa học máy tính tại đhct"
"175","ngành khoa học máy tính là ngành gì?"
"176","Công nghệ thông tin là gì?"
"177","Công nghệ thông tin sau này làm được những gì"
"178","Thông tin về ngành cntt"
"179","ngành Công nghệ thông tinh tại đhct"
"180","ngành Công nghệ thông tin là ngành gì?"
"181","An toàn thông tin là gì?"
"182","An toàn thông tin sau này làm được những gì"
"183","Thông tin về ngành attt"
"184","ngành An toàn thông tin tại đhct"
"185","ngành An toàn thông tin là ngành gì?"
"186","Truyền thông đa phương tiện là gì?"
"187","Truyền thông đa phương tiện sau này làm được những gì"
"188","Thông tin về ngành ttdpt"
"189","ngành Truyền thông đa phương tiện tại đhct"
"190","ngành Truyền thông đa phương tiện là ngành gì?"
"191","Mạng máy tính và truyền thông dữ liệu là gì?"
"192","Mạng máy tính và truyền thông dữ liệu sau này làm được những gì"
"193","Thông tin về ngành mmt&ttdl"
"194","ngành Mạng máy tính và truyền thông dữ liệu tại đhct"
"195","ngành Mạng máy tính và truyền thông dữ liệu là ngành gì?"
"196","Hệ thống thông tin là gì?"
"197","Hệ thống thông tin sau này làm được những gì"
"198","Thông tin về ngành httt"
"199","ngành Hệ thống thông tin tại đhct"
"200","ngành Hệ thống thông tin là ngành gì?"
"201","Kỹ thuật máy tính là gì?"
"202","Kỹ thuật máy tính sau này làm được những gì"
"203","Thông tin về ngành ktmt"
"204","ngành Kỹ thuật máy tính tại đhct"
"205","ngành Kỹ thuật máy tính là ngành gì?"
"206","Kỹ thuật phần mềm là gì?"
"207","Kỹ thuật phần mềm sau này làm được những gì"
"208","Thông tin về ngành ktpm"
"209","ngành Kỹ thuật phần mềm tại đhct"
"210","ngành Kỹ thuật phần mềm là ngành gì?"
"211","Công nghệ thông tin chất lượng cao là gì?"
"212","Tại sao lại gọi là cntt clc"
"213","Thông tin về ngành cntt clc"
"214","ngành cntt clc khác biệt gì so với cntt"
"215","cntt clc so với cntt"
"216","môi trường thân thiện không"
"217","Có phù hợp ở môi trường nông thôn không"
"218","Môi trường và thiệt bị có đáp ứng đủ nhu cầu học tập hay không?"
"219","môi trường học tập tại đhct"
"220","môi trường rèn luyện tại đhct"
"221","môi trường tại khoa cntt ntn"
"222","môi trường sinh hoạt học tập tại đhct"
"223","môi trường có thân thiện với các bạn sinh viên tỉnh lẻ không"
"224","sinh viên được học tập trong môi trường ntn"
"225","môi trường tại khoa cntt có đáp ứng được nhu cầu tìm tòi học hỏi của sinh viên không"
"226","chuẩn đầu ra có được đảm bảo không"
"227","chuẩn đầu ra ntn"
"228","chuẩn đầu ra có được đảm bào nào không"
"229","Chất lượng đầu ra của cntt này tại trường?"
"230","Chất lượng đầu ra của attt này tại trường?"
"231","Chất lượng đầu ra của ttdpt này tại trường?"
"232","Chất lượng đầu ra của mmt&ttdl này tại trường?"
"233","Chất lượng đầu ra của khmt này tại trường?"
"234","Chất lượng đầu ra của httt này tại trường?"
"235","Chất lượng đầu ra của ktpm này tại trường?"
