,content
0,Neu e khong biet gi ve may tinh co thi duoc khong?
1,Em khong gioi tieng anh va su dung may tinh cung khong tot lam thi co hop khong a?
2,Co yeu cau kien thuc nen tang ve may tinh truoc khong.
3,Nganh nay con gai hoc on khong a?
4,Co can phai co may tinh moi co the hoc duoc cac nganh KHMT?
5,Lieu cac em hoc sinh nu co kho khan gi khi theo hoc cac nganh ky thuat thuoc khoa CNTT&TT khong?
6,Khoa hoc may tinh la gi?
7,moi truong than thien khong
8,chuan dau ra co duoc dam bao khong
9,ti le ra truong la bao nhieu
10,ti le tot nghiep ra truong la bao nhieu
11,co yeu cau ky nang giao tiep khong
12,chuong trinh hoc co kho khong
13,chuan dau ra co duoc dam bao khong
14,chuong trinh dao tao co qua kho khong
15,Khi hoc nganh may tinh em can nhung ki nang gi
16,Neu mua rieng mot cai may tinh thi khoang bao nhieu
17,Nganh nay co hoc cao dang khong
18,Khi hoc nganh do co duoc uu tien gi khong
19,Nganh IT sau nay co bi lac hau khong
20,Nganh nay co kho hoc khong
21,Co co hoi di tham quan may cong ty hay nhieu cho khac tiep xuc voi nhieu cai cong nghe moi khong
22,Co duoc luyen lai tu dau de lay can ban khong hay hoc toi toi luon
23,nganh ton thoi gian hoc dung khong
24,Nganh khoa hoc may tinh doi hoi to chat gi
25,Co phu hop o moi truong nong thon khong
26,Co kho khong de hoc duoc nganh
27,Cuong do lam viec khi lam cong viec nay
28,Nganh nay co he thong cap bac khong
29,Neu co thi dieu kien thang tien la gi
30,Nganh nay co luong huu khong
31,Neu co thi khoang bao nhieu va dieu kien de duoc tra luong khi ve huu
32,Ma nganh nay co buoc nghi huu khong hay van co the tiep tuc cong viec du da gia
33,Suc canh tranh cua nganh nay
34,Dong gop cho xa hoi
35,Co hoi thang tien trong nganh
36,moi truong hoc tap co kho khan khong
37,nhung kho khan thuong gap trong qua trinh hoc tap
38,nhung thuan loi cua sinh vien nganh may tinh khi tim viec
39,nganh nay co uu diem gi so voi nhung nganh khac (so sanh)
40,Giua nganh CNTT va khoa hoc may tinh thi nganh nao co ti le viec lam cao hon a?
41,"Sau khi tot nghiep, sinh vien nganh CNTT có duoc gioi thieu viec làm không?"
42,Thua thay nganh CNTT co hoi duoc lam viec voi cac doanh nghiep nuoc ngoai cao khong a?/ Da cho em hoi nganh CNTT sau nay co co hoi lam viec cho cong ty nuoc ngoai khong a?
43,Da cho em hoi phuong thuc xet tuyen thac si nganh CNTT duoc khong a?
44,ti le ra truong la bao nhieu?
45,dieu kien hoc len thac si va tien si nganh CNTT nhu the nao a
46,diem chuan la bao nhieu
47,nganh ra truong lam viec gi
48,nganh ung dung duoc nhung linh vuc nao
49,ra truong lam viec luong bao nhieu
50,hoc xong truong co gioi thieu viec lam khong
51,neu hoc xong muong xin hoc bong lam ntn
52,neu hoc xong muong xin hoc bong du hoc lam ntn
53,xep hang cua nganh so voi cac nganh khac
54,da co nhung ung dung ky thuat nao noi troi
55,ti le co viec lam dung nganh nghe sau khi ra truong la bn
56,ti le choi
57,diem san
58,moi truong than thien khong
59,diem chuan la bn
60,hoc phi
61,ti le ra truong la bao nhieu
62,ra truong co the lam gi
63,ti le tot nghiep ra truong la bn
64,sau khi tot nghiep co giu lai truong lam viec khong
65,vi tri truong o dau
66,o ktx co can dk gi ko
67,ho so can nhung gi
68,1 nam co bn hk
69,co nghi he ko
70,co giam hoc phi nhung truong hop nao
71,hoc xong co the co nhung ky nang nao
72,Nganh do sao nay ra truong lam gi?
73,Neu nam nay xet hoc ba co the la bao nhieu diem
74,Muc do hot cua nganh do hien nay?
75,Muc luong ra truong sao voi cac nganh khac?
76,Nganh do dao tao ve nhung ki nang gi?
77,Neu e k biet gi ve may tinh co thi dc k?
78,Kha nang tinh toan va trinh do Tieng Anh cua e k dc tot thi thi co on k
79,Ki nang giao tiep
80,Nganh An toan thong tin ra truong lam viec gi?
81,Hoc nganh Cong Nghe Thong Tin thi co can gioi tieng Anh hay khong?
82,hoc nganh khmt ra truong lam nhung cong viec gi
83,Nen chon chuyen nganh nao o thoi diem hien tai?
84,Nganh nay co day lap trinh web khong?
85,Co the hoc 2 nganh cung 1 luc duoc k
86,"Hoc CNTT co bi mau gia, tram cam?"
87,Em theo Cntt thi nen theo truong fpt hay hutech hay truong nao khac a
88,nganh nay tam bao nhieu diem
